RPM        CT        CP
 4026.667  0.139894  0.131208
 5046.667  0.149527  0.116677
 5933.333  0.147475  0.102251
 7146.667  0.150139  0.081908
 7893.333  0.147117  0.081313
 9166.667  0.156218  0.089157
 9926.667  0.155704  0.097992
11086.667  0.157201  0.101190
12080.000  0.154470  0.097076
12940.000  0.159684  0.098645
13960.000  0.158055  0.094695
15033.333  0.159153  0.095584
16013.333  0.158740  0.092739
16986.667  0.162528  0.093964
17980.000  0.163401  0.108844
18973.333  0.163912  0.107042
19860.000  0.164534  0.104108
