RPM        CT        CP
 3913.333  0.095678  0.071287
 4993.333  0.118121  0.111075
 5940.000  0.125351  0.090494
 6940.000  0.132101  0.103772
 8000.000  0.140087  0.125051
 9020.000  0.141869  0.112173
 9960.000  0.138903  0.106797
10866.667  0.147731  0.113170
11933.333  0.146632  0.106794
13093.333  0.148486  0.106339
13893.333  0.153050  0.108157
15060.000  0.156133  0.108548
15926.667  0.156375  0.105660
16946.667  0.155575  0.105146
17933.333  0.155098  0.104588
18906.667  0.157032  0.103485
20046.667  0.158121  0.103943
